Hierarchy #1 Label,Hierarchy #1 Name,Block number,xh,yh,zh,xm,ym,zm,Hierarchy #1 Label,Hierarchy #2 Name,Block number,xh,yh,zh,xm,ym,zm
0,Background ,45,305,428,33,92,266,266,0,background,45,305,428,33,92,266,135
0,Background ,45,305,428,33,92,266,266,114,optic_nerve,08,324,205,3,37,263,104
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,2,frontomarginal_gyrus ,32,500,336,28,92,229,130
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,7,white_matter_of_forebrain,07,230,368,26,81,322,150
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,68,septum_pellucidum,08,124,358,12,33,299,157
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,102,claustrum,45,186,469,0,115,245,166
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,120,ventral_pallidus,45,353,298,27,57,261,141
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,130,anterior_commissure,45,344,275,28,53,264,145
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,174,temporal_claustrum,45,326,496,26,104,255,125
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,184,stria_terminalis,32,497,261,29,74,232,135
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,187,supracapsular_division_of_bnst,32,289,155,28,63,251,189
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,199,fornix,40,364,185,3,49,197,186
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,349,posteroventral_putamen,45,326,480,1,101,234,135
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,393,tail_of_caudate,40,491,448,4,118,190,163
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,445,tapetum_of_corpus_callosum,32,465,428,20,116,222,134
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,513,hippocampal_commissure,-1,-1,-1,-1,-1,-1,-1
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,514,crus_of_the_fornix,-1,-1,-1,-1,-1,-1,-1
2,Left-Cerebral-White-Matter,07,230,368,26,81,322,322,602,forceps_inferior,05,219,226,16,78,180,179
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,3,frontal_pole ,36,297,440,10,136,260,111
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,103,medial_septal_nucleus,-1,-1,-1,-1,-1,-1,-1
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,106,ventral_division_of_lateral_septal_nucleus,45,357,205,30,36,267,149
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,108,basal_nucleus_of_meynert,45,376,331,24,62,256,133
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,111,diagonal_band,45,409,270,28,45,259,132
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,117,bed_nucleus_of_stria_terminalis,45,334,239,25,46,263,152
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,127,nucleus_of_diagonal_band,-1,-1,-1,-1,-1,-1,-1
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,128,substantia_innominata,45,339,395,19,80,252,136
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,129,darkly-stained_nanocellular_islands_of_si,45,366,367,26,71,257,131
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,146,lightly-stained_parvocellular_islands_of_si,45,324,403,20,84,254,138
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,158,nucleus_subputaminalis,45,318,405,26,85,259,137
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,99,anterior_olfactory_nucleus,07,481,301,8,53,287,100
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,113,lateral_olfactory_stria,07,475,295,4,51,284,103
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,125,lateral_olfactory_area,45,277,377,31,83,268,147
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,155,layer_i_of_piriform_cortex,45,345,431,24,88,255,129
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,156,layer_ii_of_piriform_cortex,45,344,438,24,89,254,128
3,Left-Cerebral-Cortex      ,36,297,440,10,136,260,260,157,layer_iii_of_piriform_cortex,45,343,430,22,88,253,130
4,Left-Lateral-Ventricle,07,217,294,18,63,318,318,50,anterior_horn_of_lateral_ventricle,07,217,294,18,63,318,158
4,Left-Lateral-Ventricle,07,217,294,18,63,318,318,383,body_of_lateral_ventricle,32,293,113,2,52,230,199
4,Left-Lateral-Ventricle,07,217,294,18,63,318,318,620,atrium_of_lateral_ventricle ,-1,-1,-1,-1,-1,-1,-1
4,Left-Lateral-Ventricle,07,217,294,18,63,318,318,688,posterior_horn_of_lateral_ventricle,20,254,409,15,111,136,191
5,Left-Inf-Lat-Vent    ,32,303,154,3,61,229,229,328,inferior_horn_of_lateral_ventricle,32,303,154,3,61,229,194
7,Left-Cerebellum-White_Matter,27,274,480,18,82,124,124,611,white_matter_of_hindbrain,27,274,480,18,82,124,107
8,Left-Cerebellum-Cortex,27,265,428,17,85,112,112,595,molecular_layer_of_pva,27,259,423,20,82,110,112
8,Left-Cerebellum-Cortex,27,265,428,17,85,112,112,597,granular_cell_layer_of_pva,27,303,412,18,86,107,102
10,Left-Thalamus,32,402,172,3,58,221,221,190,magnocellular_division_of_reticular_nucleus,45,324,210,18,41,259,159
10,Left-Thalamus,32,402,172,3,58,221,221,191,parvocellular_division_of_reticular_nucleus_(perireticular_nucleus) ,45,328,216,18,42,258,158
10,Left-Thalamus,32,402,172,3,58,221,221,201,stria_medullaris_of_thalamus,32,394,42,19,28,239,176
10,Left-Thalamus,32,402,172,3,58,221,221,218,thalamus,32,388,111,27,45,244,170
10,Left-Thalamus,32,402,172,3,58,221,221,219,anterodorsal_nucleus_of_thalamus,32,376,41,15,29,237,181
10,Left-Thalamus,32,402,172,3,58,221,221,220,anteroventral_nucleus_of_thalamus,45,299,181,5,37,250,171
10,Left-Thalamus,32,402,172,3,58,221,221,221,parataenial_nucleus_of_thalamus,45,332,174,8,32,251,164
10,Left-Thalamus,32,402,172,3,58,221,221,222,parvocellular_division_of_va,32,348,142,20,55,240,179
10,Left-Thalamus,32,402,172,3,58,221,221,223,fasciculosus_nucleus_of_thalamus,45,313,226,16,46,257,160
10,Left-Thalamus,32,402,172,3,58,221,221,224,rhomboid_(central)_nucleus_of_thalamus,45,359,216,12,38,250,153
10,Left-Thalamus,32,402,172,3,58,221,221,225,paraventricular_nucleus,32,421,51,23,29,240,167
10,Left-Thalamus,32,402,172,3,58,221,221,226,zona_incerta,32,450,182,24,58,234,152
10,Left-Thalamus,32,402,172,3,58,221,221,246,inferior_thalamic_peduncle ,45,339,250,13,48,252,153
10,Left-Thalamus,32,402,172,3,58,221,221,250,dorsal_division_of_lateral_nucleus,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,251,ventral_(parvicellular)_division_of_basolateral_nucleus,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,252,anteromedial_nucleus_of_thalamus,45,317,197,10,39,253,164
10,Left-Thalamus,32,402,172,3,58,221,221,253,reuniens_nucleus_(medioventral_nucleus)_of_thalamus,32,477,98,30,36,240,150
10,Left-Thalamus,32,402,172,3,58,221,221,254,reticular_nucleus_of_thalamus,40,421,342,16,90,205,173
10,Left-Thalamus,32,402,172,3,58,221,221,260,interthalamic_adhesion_(massa_intermedia),45,354,190,1,33,242,160
10,Left-Thalamus,32,402,172,3,58,221,221,274,ventral_medial_nucleus_of_thalamus,32,435,158,28,54,240,156
10,Left-Thalamus,32,402,172,3,58,221,221,276,mammillothalamic_tract,32,458,127,25,44,236,154
10,Left-Thalamus,32,402,172,3,58,221,221,282,magnocellular_(medial)_division_of_md,32,419,82,11,36,229,170
10,Left-Thalamus,32,402,172,3,58,221,221,283,magnocellular_division_of_va,32,398,149,24,54,240,166
10,Left-Thalamus,32,402,172,3,58,221,221,284,central_medial_nucleus_of_thalamus,32,457,121,23,43,235,155
10,Left-Thalamus,32,402,172,3,58,221,221,285,paracentral_nucleus_of_thalamus,32,421,112,22,43,237,164
10,Left-Thalamus,32,402,172,3,58,221,221,286,intermediodorsal__nucleus_of_thalamus,45,359,184,7,31,247,158
10,Left-Thalamus,32,402,172,3,58,221,221,296,anteromedial_large-celled_island_of_md_,45,350,197,9,35,249,158
10,Left-Thalamus,32,402,172,3,58,221,221,303,central_dorsal_nucleus_of_thalamus,32,378,66,12,35,234,180
10,Left-Thalamus,32,402,172,3,58,221,221,312,central_part_of_medial_division_of_md,32,412,77,10,35,229,172
10,Left-Thalamus,32,402,172,3,58,221,221,313,parvocellular_(central)_division_of_md,32,419,115,12,44,229,167
10,Left-Thalamus,32,402,172,3,58,221,221,314,rostral_division_of_vl,32,408,186,20,62,234,163
10,Left-Thalamus,32,402,172,3,58,221,221,317,stratum_zonale_of_thalamus,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,322,thalamic_fasciculus,32,466,148,24,49,234,151
10,Left-Thalamus,32,402,172,3,58,221,221,350,dorsal_subdivision_of_vlc,32,326,157,17,60,239,184
10,Left-Thalamus,32,402,172,3,58,221,221,378,lateral_dorsal_nucleus_of_thalamus,32,376,71,26,37,246,175
10,Left-Thalamus,32,402,172,3,58,221,221,379,densocelllular_(paralamellar)_division_of_md,32,393,104,1,43,222,177
10,Left-Thalamus,32,402,172,3,58,221,221,380,multiform_(lateral)_division_of_md,40,379,165,28,45,217,174
10,Left-Thalamus,32,402,172,3,58,221,221,381,ventral_subdivision_of_vlc,32,363,177,16,63,235,175
10,Left-Thalamus,32,402,172,3,58,221,221,382,medial_subdivision_of_vlc_(area_x),-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,394,rostral_division_of_ventral_posterior_lateral_nucleus,32,420,188,16,61,230,161
10,Left-Thalamus,32,402,172,3,58,221,221,395,parvocellular_division_of_vpm,32,463,187,6,58,218,155
10,Left-Thalamus,32,402,172,3,58,221,221,396,lateral_division_of_centromedian_nucleus_of_thalamus,32,445,197,2,61,216,159
10,Left-Thalamus,32,402,172,3,58,221,221,397,medial_division_of_centromedian_nucleus_of_thalamus,32,447,166,0,54,215,162
10,Left-Thalamus,32,402,172,3,58,221,221,398,parafascicular_nucleus_of_thalamus,32,473,130,6,44,219,156
10,Left-Thalamus,32,402,172,3,58,221,221,399,periventricular_area_of_thalamus,32,471,100,12,37,225,157
10,Left-Thalamus,32,402,172,3,58,221,221,400,nucleus_of_the_field_of_forel,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,423,ventral_posterior_medial_nucleus,32,434,213,2,66,216,161
10,Left-Thalamus,32,402,172,3,58,221,221,424,ventral_posterior_inferior_nucleus,32,440,209,9,65,222,158
10,Left-Thalamus,32,402,172,3,58,221,221,425,lateral_division_of_central_lateral_nucleus,32,419,130,19,48,234,164
10,Left-Thalamus,32,402,172,3,58,221,221,426,subparafascicular_nucleus_of_thalamus,32,470,143,12,47,224,154
10,Left-Thalamus,32,402,172,3,58,221,221,430,lateral_habenular_nucleus,40,425,151,22,42,209,165
10,Left-Thalamus,32,402,172,3,58,221,221,441,lateral_posterior_nucleus_of_thalamus,40,376,255,20,67,211,180
10,Left-Thalamus,32,402,172,3,58,221,221,442,basal_ventral_medial_nucleus,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,443,dorsal_division_of_central_lateral_nucleus,40,297,150,32,39,227,192
10,Left-Thalamus,32,402,172,3,58,221,221,444,medial_habenular_nucleus,40,429,136,22,39,208,164
10,Left-Thalamus,32,402,172,3,58,221,221,454,anterior_nucleus_of_pulvinar,40,428,220,24,60,211,166
10,Left-Thalamus,32,402,172,3,58,221,221,458,caudal_division_of_ventral_posterior_lateral_nucleus,40,437,275,24,74,210,165
10,Left-Thalamus,32,402,172,3,58,221,221,459,parvicellular_layer_of_dlg,32,451,333,2,94,211,149
10,Left-Thalamus,32,402,172,3,58,221,221,477,pregeniculate_nucleus,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,478,posterior_nucleus_of_thalamus,40,469,248,20,68,204,158
10,Left-Thalamus,32,402,172,3,58,221,221,479,centromedian_nucleus_of_thalamus,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,484,dorsal_lateral_geniculate_nucleus,40,470,337,14,90,200,162
10,Left-Thalamus,32,402,172,3,58,221,221,492,limitans_nucleus,40,469,181,24,51,207,155
10,Left-Thalamus,32,402,172,3,58,221,221,493,habenular_commissure,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,504,dorsal_medial_geniculate_nucleus,40,502,310,15,84,198,153
10,Left-Thalamus,32,402,172,3,58,221,221,505,ventral_medial_geniculate_nucleus,40,514,310,14,84,196,151
10,Left-Thalamus,32,402,172,3,58,221,221,508,medial_nucleus_of_pulvinar,40,427,237,11,64,200,170
10,Left-Thalamus,32,402,172,3,58,221,221,510,magnocellular_(medial)_nucleus,45,338,188,6,34,248,162
10,Left-Thalamus,32,402,172,3,58,221,221,511,limitans_part_of_medial_geniculate_nucleus,40,512,303,17,83,199,150
10,Left-Thalamus,32,402,172,3,58,221,221,512,suprageniculate_nucleus_of_thalamus,09,61,141,12,47,157,96
10,Left-Thalamus,32,402,172,3,58,221,221,517,lateral_nucleus_of_pulvinar,40,386,279,16,73,207,180
10,Left-Thalamus,32,402,172,3,58,221,221,519,inferior_nucleus_of_pulvinar,40,469,330,12,88,198,163
10,Left-Thalamus,32,402,172,3,58,221,221,808,commissural_nucleus,45,421,243,31,37,261,131
10,Left-Thalamus,32,402,172,3,58,221,221,809,internal_medullary_lamina_of_thalamus,15,161,80,1,63,219,137
10,Left-Thalamus,32,402,172,3,58,221,221,810,inferior_thalamic_peduncle,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,811,superficial_pulvinar_nucleus,40,341,188,20,49,214,187
10,Left-Thalamus,32,402,172,3,58,221,221,812,intergeniculate_pulvinar,40,482,246,16,67,200,156
10,Left-Thalamus,32,402,172,3,58,221,221,813,diffuse_pulvinar_nucleus,40,448,198,1,54,189,167
10,Left-Thalamus,32,402,172,3,58,221,221,814,medial_dorsal_thalamic_nucleus,40,403,168,16,46,205,173
10,Left-Thalamus,32,402,172,3,58,221,221,815,internal_medullary_lamina_of_thalamus,09,69,152,11,44,159,96
10,Left-Thalamus,32,402,172,3,58,221,221,816,dorsal_superficial_nucleus,09,69,103,15,56,156,93
10,Left-Thalamus,32,402,172,3,58,221,221,817,habenula,-1,-1,-1,-1,-1,-1,-1
10,Left-Thalamus,32,402,172,3,58,221,221,818,fascicles_retroflux,-1,-1,-1,-1,-1,-1,-1
11,Left-Caudate    ,08,200,453,10,63,294,294,48,head_of_caudate,08,200,453,10,63,294,160
11,Left-Caudate    ,08,200,453,10,63,294,294,49,peri-caudate_ependymal_and_subependymal_zone,45,253,229,20,53,265,171
11,Left-Caudate    ,08,200,453,10,63,294,294,118,body_of_caudate,45,176,239,32,64,281,182
12,Left-Putamen   ,45,230,378,30,89,271,271,79,putamen,45,230,378,30,89,271,157
13,Left-Pallidum     ,45,283,342,14,75,254,254,119,external_segment_of_globus_pallidus,45,294,320,28,69,266,150
13,Left-Pallidum     ,45,283,342,14,75,254,254,206,internal_segment_of_globus_pallidus,45,309,329,14,69,252,151
13,Left-Pallidum     ,45,283,342,14,75,254,254,210,internal_medullary_lamina_of_globus_pallidus,45,312,192,0,38,245,169
16,Brainstem,13,147,109,12,53,191,191,16,anterior_intermediate_orbital_gyrus *used as general brainstem label,09,165,141,5,50,181,87
16,Brainstem,13,147,109,12,53,191,191,386,Oculomotor nerve,15,233,217,8,29,202,146
16,Brainstem,13,147,109,12,53,191,191,403,Cerebello-thalamic tract,32,512,133,14,42,223,145
16,Brainstem,13,147,109,12,53,191,191,412,Fasciculus retroflexus,15,194,204,3,32,211,143
16,Brainstem,13,147,109,12,53,191,191,415,Transverse pontocerebellar tracts,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,435,Ventral tegmental area,15,183,199,7,33,211,138
16,Brainstem,13,147,109,12,53,191,191,436,interpeduncular_nucleus,15,184,198,16,33,206,132
16,Brainstem,13,147,109,12,53,191,191,447,Edinger-westphal_nucleus_(accessory_oculomotor_nucleus),15,103,157,8,43,226,124
16,Brainstem,13,147,109,12,53,191,191,464,Oculomotor nucleus,15,121,185,7,36,223,128
16,Brainstem,13,147,109,12,53,191,191,465,Periaqueductal gray,15,83,159,14,42,227,116
16,Brainstem,13,147,109,12,53,191,191,471,Decussation of superior cerebellar peduncle,15,147,160,30,42,206,114
16,Brainstem,13,147,109,12,53,191,191,499,Medial lemniscus,09,139,141,17,48,170,82
16,Brainstem,13,147,109,12,53,191,191,507,Superior colliculus,15,76,125,5,51,233,121
16,Brainstem,13,147,109,12,53,191,191,515,Lateral lemniscus,13,52,163,4,56,217,99
16,Brainstem,13,147,109,12,53,191,191,520,Trochlear nucleus,15,89,172,20,39,222,113
16,Brainstem,13,147,109,12,53,191,191,521,Dorsal raphe nucleus,15,110,180,5,38,226,127
16,Brainstem,13,147,109,12,53,191,191,524,Inferior colliculus,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,525,brachium of inferior colliculus,15,88,92,25,58,220,107
16,Brainstem,13,147,109,12,53,191,191,527,Pontine reticular formation,09,98,135,10,49,165,93
16,Brainstem,13,147,109,12,53,191,191,528,Medial longitudinal fasciculus  ,15,131,183,6,37,222,130
16,Brainstem,13,147,109,12,53,191,191,531,Superior cerebellar peduncle,13,75,175,7,50,214,99
16,Brainstem,13,147,109,12,53,191,191,538,Cuneiform nucleus,15,130,120,14,52,218,123
16,Brainstem,13,147,109,12,53,191,191,541,central_nucleus_of_inferior_colliculus,15,70,147,31,44,220,101
16,Brainstem,13,147,109,12,53,191,191,542,Parabigeminal nucleus,15,112,91,18,59,219,116
16,Brainstem,13,147,109,12,53,191,191,543,Middle cerebellar peduncle,13,129,55,20,66,184,105
16,Brainstem,13,147,109,12,53,191,191,580,pons,13,152,105,9,54,191,112
16,Brainstem,13,147,109,12,53,191,191,583,Trigeminal nerve,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,589,Nucleus coeruleus,13,69,214,13,43,217,92
16,Brainstem,13,147,109,12,53,191,191,591,Central tegmental tract,15,129,146,15,46,217,122
16,Brainstem,13,147,109,12,53,191,191,592,Spinal lemniscus (spinothalamic and spinotectal),-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,598,Dorsal nucleus of lateral lemniscus,13,65,109,24,64,200,90
16,Brainstem,13,147,109,12,53,191,191,600,Mesencephalic trigeminal tract,13,64,213,4,44,222,97
16,Brainstem,13,147,109,12,53,191,191,610,Central gray of pons,13,71,216,21,42,214,86
16,Brainstem,13,147,109,12,53,191,191,617,Anterior medullary velum,13,56,223,21,42,218,84
16,Brainstem,13,147,109,12,53,191,191,624,Facial nerve,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,645,Mesencephalic trigeminal nucleus,13,66,206,20,44,214,87
16,Brainstem,13,147,109,12,53,191,191,647,Nucleus of trapezoid body,09,146,116,16,55,171,81
16,Brainstem,13,147,109,12,53,191,191,649,Medial superior olive,09,141,122,16,53,170,82
16,Brainstem,13,147,109,12,53,191,191,659,principal_sensory_nucleus_of_trigeminal_nerve,13,87,115,32,59,194,87
16,Brainstem,13,147,109,12,53,191,191,660,Lateral superior olive,09,132,117,16,54,168,83
16,Brainstem,13,147,109,12,53,191,191,662,myelencephalon_(medulla_oblongata),09,119,104,23,56,162,80
16,Brainstem,13,147,109,12,53,191,191,666,Facial nucleus,09,108,114,17,54,163,86
16,Brainstem,13,147,109,12,53,191,191,669,Spinal trigeminal,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,676,genu_of_the_facial_nerve,09,89,109,11,55,161,93
16,Brainstem,13,147,109,12,53,191,191,677,spinal_trigeminal_tract,09,93,80,22,62,157,84
16,Brainstem,13,147,109,12,53,191,191,682,Abducens nucleus,09,67,129,17,49,155,92
16,Brainstem,13,147,109,12,53,191,191,683,Superior vestibular,09,51,101,9,57,154,100
16,Brainstem,13,147,109,12,53,191,191,687,solitary_tract,33,81,74,18,60,140,62
16,Brainstem,13,147,109,12,53,191,191,689,Ventral cochlear nucleus,09,101,45,13,71,161,89
16,Brainstem,13,147,109,12,53,191,191,690,Lateral vestibular,09,73,87,9,61,158,96
16,Brainstem,13,147,109,12,53,191,191,693,ambiguus_nucleus,33,125,67,18,62,150,57
16,Brainstem,13,147,109,12,53,191,191,694,Medial vestibular,09,71,62,35,64,146,78
16,Brainstem,13,147,109,12,53,191,191,695,Medullary reticular formation,33,100,83,18,58,145,60
16,Brainstem,13,147,109,12,53,191,191,697,Inferior cerebellar peduncle,09,72,58,11,68,156,95
16,Brainstem,13,147,109,12,53,191,191,699,lateral_reticular_nucleus_(principal_part),09,85,95,21,58,156,86
16,Brainstem,13,147,109,12,53,191,191,703,Inferior Vestibular,09,65,84,21,60,152,89
16,Brainstem,13,147,109,12,53,191,191,717,Solitary nucleus,09,78,95,31,57,150,80
16,Brainstem,13,147,109,12,53,191,191,724,Hypoglossal nucleus,33,74,99,13,54,141,66
16,Brainstem,13,147,109,12,53,191,191,725,dorsal_motor_nucleus_of_the_vagus_(vagal_nucleus),33,74,81,15,58,140,65
16,Brainstem,13,147,109,12,53,191,191,726,external_(accessory/lateral)_cuneate_nucleus,33,84,86,31,57,136,52
16,Brainstem,13,147,109,12,53,191,191,731,Dorsal cochlear,09,57,49,20,69,149,91
16,Brainstem,13,147,109,12,53,191,191,755,Cuneate nucleus,33,87,51,18,66,141,61
16,Brainstem,13,147,109,12,53,191,191,756,Gracile nucleus,33,88,97,38,55,135,46
16,Brainstem,13,147,109,12,53,191,191,765,Central gray of medulla,33,98,110,26,51,142,54
16,Brainstem,13,147,109,12,53,191,191,771,Spinal accessory nucleus,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,777,Decussation of CST,33,164,116,8,51,164,61
16,Brainstem,13,147,109,12,53,191,191,779,Corticospinal tract,13,163,80,4,58,188,119
16,Brainstem,13,147,109,12,53,191,191,794,Central canal,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,819,Inferior olivary nucleus,09,134,7,14,81,166,83
16,Brainstem,13,147,109,12,53,191,191,826,dorsal_trigeminothalamic_tract,09,147,111,33,54,164,69
16,Brainstem,13,147,109,12,53,191,191,827,Parietotemporopontine tract,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,828,Corticonuclear tract,15,219,90,0,61,208,147
16,Brainstem,13,147,109,12,53,191,191,829,Frontopontine tract,15,246,132,19,50,193,138
16,Brainstem,13,147,109,12,53,191,191,830,principle_oculomotor_nucleus,15,255,167,16,41,193,142
16,Brainstem,13,147,109,12,53,191,191,831,nucleus_reticularis_pedunculopontinus,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,832,nucleus_reticularis_centralis_superior,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,833,nucleus_reticularis_pontis_oralis,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,834,oculomotor_nerve,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,835,dorsolateral_pontine_nucleus,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,836,ventral_trigeminothalamic_tract,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,837,rubro_olivary_tract,13,171,150,0,42,197,118
16,Brainstem,13,147,109,12,53,191,191,838,medial_superior_olivary_nucleus,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,839,dorsal_accessory_olivary_nucleus,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,840,medial_accessory_olivary_nucleus,-1,-1,-1,-1,-1,-1,-1
16,Brainstem,13,147,109,12,53,191,191,841,spinocerebellar_tract,13,78,119,32,60,196,85
16,Brainstem,13,147,109,12,53,191,191,842,Decussation of trochlear nerve fibers,15,111,89,23,59,216,112
17,Left-Hippocampus  ,32,540,323,28,86,226,226,320,amygdalohippocampal_transition_area,-1,-1,-1,-1,-1,-1,-1
17,Left-Hippocampus  ,32,540,323,28,86,226,226,326,uncal_subiculum,45,443,428,12,76,237,113
17,Left-Hippocampus  ,32,540,323,28,86,226,226,327,uncal_prosubiculum,-1,-1,-1,-1,-1,-1,-1
17,Left-Hippocampus  ,32,540,323,28,86,226,226,343,stratum_lacunosum-moleculare_of_rostral_ca1,32,528,405,23,106,220,121
17,Left-Hippocampus  ,32,540,323,28,86,226,226,344,stratum_radiatum_of_rostral_ca1,32,526,413,24,108,221,120
17,Left-Hippocampus  ,32,540,323,28,86,226,226,345,stratum_pyramidale_of_rostral_ca1,32,525,410,28,108,224,119
17,Left-Hippocampus  ,32,540,323,28,86,226,226,346,stratum_oriens_of_rostral_ca1,32,536,424,26,110,221,117
17,Left-Hippocampus  ,32,540,323,28,86,226,226,347,rostral_subiculum,40,550,305,18,84,197,141
17,Left-Hippocampus  ,32,540,323,28,86,226,226,348,rostral_prosubiculum,-1,-1,-1,-1,-1,-1,-1
17,Left-Hippocampus  ,32,540,323,28,86,226,226,354,alveus,32,510,320,28,87,229,129
17,Left-Hippocampus  ,32,540,323,28,86,226,226,358,rostral_presubiculum,-1,-1,-1,-1,-1,-1,-1
17,Left-Hippocampus  ,32,540,323,28,86,226,226,364,molecular_layer_of_uncal_dentate_gyrus,32,555,289,11,76,212,126
17,Left-Hippocampus  ,32,540,323,28,86,226,226,365,granular_layer_of_uncal_dentate_gyrus,32,550,269,10,72,212,129
17,Left-Hippocampus  ,32,540,323,28,86,226,226,367,polyform_layer_of_uncal_dentate_gyrus,32,556,295,9,77,210,126
17,Left-Hippocampus  ,32,540,323,28,86,226,226,368,stratum_lacunosum-moleculare_of_uncal_ca2,32,582,238,29,63,226,117
17,Left-Hippocampus  ,32,540,323,28,86,226,226,369,stratum_radiatum_of_uncal_ca2,32,549,256,22,69,222,126
17,Left-Hippocampus  ,32,540,323,28,86,226,226,370,stratum_pyramidale_of_uncal_ca2,32,574,261,27,69,225,118
17,Left-Hippocampus  ,32,540,323,28,86,226,226,371,stratum_oriens_of_uncal_ca2,32,563,273,25,72,223,121
17,Left-Hippocampus  ,32,540,323,28,86,226,226,372,stratum_lacunosum-moleculare_of_uncal_ca3,32,542,315,19,83,219,125
17,Left-Hippocampus  ,32,540,323,28,86,226,226,373,stratum_lucidum__of_uncal_ca3,32,503,279,24,78,227,134
17,Left-Hippocampus  ,32,540,323,28,86,226,226,374,stratum_pyramidale_of_uncal_ca3,32,516,263,31,73,232,130
