Label number,Block number,x,y,z
0,0,384,264,33
2,0,364,229,26
3,0,431,287,8
4,0,281,212,16
5,0,533,126,3
7,0,369,278,18
8,0,429,290,20
10,0,449,158,3
11,0,445,189,9
12,0,371,222,31
13,0,331,276,14
16,0,232,389,12
17,0,312,305,28
18,0,437,388,21
26,0,341,271,0
28,0,209,121,20
30,0,504,126,4
31,0,539,229,28
85,0,275,457,32
